Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
petonns,2026-08-19T18:46:42Z,Tier 1,1,1,gift,false
kamet0,2026-08-10T19:40:49Z,Tier 1,1,1,gift,false
crepox,2026-06-25T08:45:51Z,Tier 1,4,4,recurring,true
mikumosana,2026-08-30T15:35:06Z,Tier 1,3,1,gift,false
remi100familles,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
ellie_eva,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
bluedragonfr_,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
mochi_the_helljumper,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
hassenwrld,2026-08-17T16:55:21Z,Tier 1,1,1,gift,false
yarik300000,2026-08-11T23:15:58Z,Tier 1,1,1,gift,false
mikomi0531,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
bibichuuuu,2026-08-19T18:46:43Z,Tier 1,1,1,gift,false
kiszinger,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
cpt_nilo,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
noumnoume,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
nglstriper,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
1ntermet,2026-08-30T15:35:06Z,Tier 1,1,1,gift,false
lecutte,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
chxcha,2026-08-11T23:15:58Z,Tier 1,1,1,gift,false
0_thomas_shelby_0,2026-08-19T18:46:42Z,Tier 1,1,1,gift,false
lasoeurdupape,2026-08-10T19:34:09Z,Tier 1,1,1,gift,false
akrea74,2026-08-10T19:34:09Z,Tier 1,1,1,gift,false
dawcoeur_,2026-08-30T09:08:49Z,Tier 1,2,1,gift,false
azerty_1963,2026-08-30T09:55:51Z,Tier 1,1,1,gift,false
haurkrix,2026-08-19T18:46:42Z,Tier 1,2,1,gift,false
gebeetsknueppel,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
bazen1107,2026-08-11T23:15:59Z,Tier 1,1,1,gift,false
sohlohgeo,2026-08-11T23:15:59Z,Tier 1,1,1,gift,false
baaastoche,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
davidlebarbe,2026-08-17T16:53:16Z,Tier 1,1,1,gift,false
mc_hellroy,2026-08-13T16:41:42Z,Tier 1,2,2,prime,false
armxleg,2026-08-17T16:53:16Z,Tier 1,1,1,gift,false
le_duc_27,2026-09-04T18:24:00Z,Tier 1,1,1,gift,false
crazeeee,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
souy0n,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
kingdom_of_game_,2026-08-11T23:15:58Z,Tier 1,1,1,gift,false
anarithvk,2026-08-17T16:55:21Z,Tier 1,1,1,gift,false
exkantian,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
p3t1tp0ney,2026-08-17T16:53:16Z,Tier 1,1,1,gift,false
darkhydra10,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
cirodimarcio31,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
obtimus1,2026-08-10T19:32:47Z,Tier 1,2,1,gift,false
ronon_trent,2026-07-10T17:08:45Z,Tier 1,4,4,recurring,true
brulisator,2026-08-11T23:15:58Z,Tier 1,1,1,gift,false
elladha,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
crepox,2026-09-04T18:27:34Z,Tier 3,4,4,recurring,true
nefios,2026-08-30T15:36:47Z,Tier 1,1,1,gift,false
delutece,2026-09-04T18:24:01Z,Tier 1,1,1,gift,false
cody_live_,2026-09-04T18:24:01Z,Tier 1,1,1,gift,false
drakos_ttv,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
ta_niuha,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
bigiblik,2026-08-30T15:35:06Z,Tier 1,1,1,gift,false
otimpt,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
shinzo_duc,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
silly_seagull6,2026-09-04T18:24:01Z,Tier 1,1,1,gift,false
gekuri,2026-09-04T18:24:00Z,Tier 1,1,1,gift,false
powsen,2026-09-04T18:24:00Z,Tier 1,1,1,gift,false
samdarxx,2026-08-11T23:15:58Z,Tier 1,1,1,gift,false
dexterinne_,2026-08-30T15:36:48Z,Tier 1,1,1,gift,false
m8_snipher,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
asgard_fr_,2026-09-04T18:24:00Z,Tier 1,1,1,gift,false
shaddam_v,2026-08-30T15:36:48Z,Tier 1,1,1,gift,false
nonrampy,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
sweeqy,2026-08-17T16:53:16Z,Tier 1,1,1,gift,false
tercana,2026-09-04T17:29:49Z,Tier 1,2,1,gift,false
cerne_underscore,2026-08-16T11:01:56Z,Tier 1,4,4,prime,false
exoticladybee,2026-09-04T18:24:01Z,Tier 1,1,1,gift,false
amnesik_n21,2026-09-04T18:04:06Z,Tier 1,1,1,gift,false
yungxlaw,2026-08-11T23:15:58Z,Tier 1,1,1,gift,false
raustone,2026-09-04T18:24:01Z,Tier 1,1,1,gift,false
bonjesuisunflemmard,2026-08-17T16:53:16Z,Tier 1,1,1,gift,false
101_kama_101,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
shizu_220,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
duredin,2026-08-30T15:35:06Z,Tier 1,1,1,gift,false
chrisreturn,2026-08-11T23:15:59Z,Tier 1,1,1,gift,false
aurel_le_dragon,2026-08-01T18:43:53Z,Tier 3,4,4,recurring,true
scevan,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
mrshydiver,2026-04-19T18:28:57Z,Tier 3,5,5,recurring,false
o_rico_o0,2026-07-31T11:14:09Z,Tier 3,5,5,recurring,true
azy_lesang,2026-08-17T16:55:21Z,Tier 1,1,1,gift,false
hirichounette,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
kargnacc,2026-09-04T19:24:26Z,Tier 1,5,5,recurring,true
ronon_trent,2026-09-04T17:28:53Z,Tier 3,4,4,recurring,true
brach_v,2026-09-04T18:25:47Z,Tier 1,1,1,gift,false
